chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
28/8/1977,1,ELVIS PRESLEY,WAY DOWN,4,1,4
28/8/1977,2,THE FLOATERS,FLOAT ON,1,1,7
28/8/1977,3,BROTHERHOOD OF MAN,ANGELO,2,1,9
28/8/1977,4,SHOWADDYWADDY,YOU GOT WHAT IT TAKES,3,2,7
28/8/1977,5,SPACE.,MAGIC FLY,16,5,4
28/8/1977,6,CANDI STATON,NIGHTS ON BROADWAY,9,6,7
28/8/1977,7,RAH BAND,THE CRUNCH,6,6,9
28/8/1977,8,DENIECE WILLIAMS,THAT'S WHAT FRIENDS ARE FOR,8,8,6
28/8/1977,9,CARLY SIMON,NOBODY DOES IT BETTER,10,9,5
28/8/1977,10,DAVID SOUL,SILVER LADY,30,10,2
28/8/1977,11,DONNA SUMMER,I FEEL LOVE,5,1,9
28/8/1977,12,JEAN-MICHEL JARRE,OXYGENE PART IV,22,12,2
28/8/1977,13,STEVE GIBBONS BAND,TULANE,17,13,5
28/8/1977,14,DONNA SUMMER,DOWN DEEP INSIDE,21,14,3
28/8/1977,15,THIN LIZZY,DANCIN' IN THE MOONLIGHT,23,15,4
28/8/1977,16,RITA COOLIDGE,WE'RE ALL ALONE,7,6,11
28/8/1977,17,THE STRANGLERS,SOMETHING BETTER CHANGE,12,9,6
28/8/1977,18,THE JAM,ALL AROUND THE WORLD,18,13,7
28/8/1977,19,BONEY M,MA BAKER,11,2,11
28/8/1977,20,SMOKIE,IT'S YOUR LIFE,13,5,8
28/8/1977,21,MINK DEVILLE,SPANISH STROLL,24,21,5
28/8/1977,22,JONATHAN RICHMAN,ROADRUNNER,14,11,8
28/8/1977,23,THE DOOLEYS,I THINK I'M GONNA FALL IN LOVE WITH YOU,28,23,4
28/8/1977,24,RODS,DO ANYTHING YOU WANNA DO,19,19,4
28/8/1977,25,ELKIE BROOKS,SUNSHINE AFTER THE RAIN,29,25,3
28/8/1977,26,MERI WILSON,TELEPHONE MAN,46,26,2
28/8/1977,27,ADVERTS,GARY GILMORE'S EYES,27,27,2
28/8/1977,28,THE BOOMTOWN RATS,LOOKING AFTER NUMBER ONE,47,28,2
28/8/1977,29,YVONNE ELLIMAN,I CAN'T GET YOU OUT OF MY MIND,33,29,4
28/8/1977,30,THE JACKSONS,DREAMER,31,30,4
28/8/1977,31,DANNY WILLIAMS,DANCIN' EASY,32,30,6
28/8/1977,32,FLEETWOOD MAC,DREAMS,25,24,9
28/8/1977,33,THE COMMODORES,EASY,15,9,10
28/8/1977,34,THE FOUR SEASONS,DOWN THE HALL,42,34,3
28/8/1977,35,DE ETTA LITTLE AND NELSON PIGFORD,YOU TAKE MY HEART AWAY,36,35,4
28/8/1977,36,BRUCE JOHNSTON,PIPELINE,45,36,2
28/8/1977,37,BLACK GORILLA,GIMME DAT BANANA,50,37,2
28/8/1977,38,PHILADELPHIA INTERNATIONAL ALL STARS,LET'S CLEAN UP THE GHETTO,37,37,4
28/8/1977,39,ELVIS PRESLEY,IT'S NOW OR NEVER {1977},New,39,1
28/8/1977,40,JIGSAW,IF I HAVE TO GO AWAY,39,36,5
28/8/1977,41,ELVIS PRESLEY,ALL SHOOK UP {1977},New,41,1
28/8/1977,42,TOM PETTY AND THE HEARTBREAKERS,AMERICAN GIRL,40,40,4
28/8/1977,43,ELVIS PRESLEY,CRYING IN THE CHAPEL {1977},New,43,1
28/8/1977,44,ELVIS PRESLEY,JAILHOUSE ROCK {1977},New,44,1
28/8/1977,45,EMERSON LAKE & PALMER,FANFARE FOR THE COMMON MAN,34,2,14
28/8/1977,46,ELVIS PRESLEY,ARE YOU LONESOME TONIGHT? {1977},New,46,1
28/8/1977,47,J.A.L.N. BAND,I GOT TO SING,49,47,2
28/8/1977,48,ELVIS PRESLEY,THE WONDER OF YOU {1977},New,48,1
28/8/1977,49,NILSSON,ALL I THINK ABOUT IS YOU,43,43,3
28/8/1977,50,ELVIS PRESLEY,RETURN TO SENDER {1977},New,50,1
