chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
20240426,1,TAYLOR SWIFT FT POST MALONE,FORTNIGHT,New,1,1
20240426,2,HOZIER,TOO SWEET,1,1,5
20240426,3,TAYLOR SWIFT,THE TORTURED POETS DEPARTMENT,New,3,1
20240426,4,TAYLOR SWIFT,DOWN BAD,New,4,1
20240426,5,SABRINA CARPENTER,ESPRESSO,6,5,2
20240426,6,BENSON BOONE,BEAUTIFUL THINGS,2,1,14
20240426,7,ARTEMAS,I LIKE THE WAY YOU KISS ME,3,3,5
20240426,8,TEDDY SWIMS,LOSE CONTROL,4,2,25
20240426,9,BEYONCE,TEXAS HOLD 'EM,5,1,11
20240426,10,DASHA,AUSTIN,7,7,9
20240426,11,ARIANA GRANDE,WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),8,2,7
20240426,12,MARK AMBOR,BELONG TOGETHER,13,12,6
20240426,13,MICHAEL MARCAGI,SCARED TO START,11,9,15
20240426,14,DRAKE,PUSH UPS,New,14,1
20240426,15,NOAH KAHAN,STICK SEASON,12,1,30
20240426,16,SHABOOZEY,A BAR SONG (TIPSY),41,16,2
20240426,17,BLESSED MADONNA/DOUGLAS,HAPPIER,17,17,9
20240426,18,LAY BANKZ,TELL UR GIRLFRIEND,31,18,3
20240426,19,DUA LIPA,ILLUSION,9,9,2
20240426,20,ELLA HENDERSON FT RUDIMENTAL,ALIBI,14,10,15
20240426,21,CHAPPELL ROAN,GOOD LUCK BABE,33,21,3
20240426,22,BRYSON TILLER,WHATEVER SHE WANTS,24,16,10
20240426,23,NATASHA BEDINGFIELD,UNWRITTEN,18,6,33
20240426,24,NEWERA,BIRDS IN THE SKY,19,18,12
20240426,25,FUTURE & METRO BOOMIN/KENDRICK,LIKE THAT,16,6,5
20240426,26,BAKAR,HELL N BACK,21,20,21
20240426,27,DAVID GUETTA & ONEREPUBLIC,I DON'T WANNA WAIT,25,25,3
20240426,28,JUNGLE,BACK ON 74,20,19,17
20240426,29,SZA,SATURN,29,15,9
20240426,30,BENSON BOONE,SLOW IT DOWN,26,23,5
20240426,31,PERRIE,FORGET ABOUT US,10,10,2
20240426,32,RUDIMENTAL/SKEPSIS/PLANK/RIKO,GREEN & GOLD,30,29,9
20240426,33,HEADIE ONE/STORMZY/TAY KEITH,CRY NO MORE,New,33,1
20240426,34,DJO,END OF BEGINNING,23,4,11
20240426,35,BADGER & NATASHA BEDINGFIELD,THESE WORDS,35,35,3
20240426,36,CALVIN HARRIS & RAG'N'BONE MAN,LOVERS IN A PAST LIFE,28,13,10
20240426,37,GOOD NEIGHBOURS,HOME,27,26,13
20240426,38,TYLA/GUNNA/SKILLIBENG,JUMP,38,38,5
20240426,39,CASSO/RAYE/D-BLOCK EUROPE,PRADA,37,2,37
20240426,40,OLIVIA RODRIGO,OBSESSED,32,10,5
20240426,41,POZER,MALICIOUS INTENTIONS,New,41,1
20240426,42,TATE MCRAE,GREEDY,40,3,32
20240426,43,AMY WINEHOUSE,BACK TO BLACK,51,8,59
20240426,44,BILLIE EILISH,WHAT WAS I MADE FOR,39,1,37
20240426,45,MARK RONSON FT AMY WINEHOUSE,VALERIE,44,2,52
20240426,46,BEYONCE,JOLENE,34,8,4
20240426,47,NATHAN DAWE,WE AIN'T HERE FOR LONG,52,47,12
20240426,48,DISTURBED,THE SOUND OF SILENCE,47,29,12
20240426,49,FLO MILLI,NEVER LOSE ME,54,15,17
20240426,50,JAX JONES/ZOE WEES,NEVER BE LONELY,64,41,7
20240426,51,BEYONCE/MILEY CYRUS,II MOST WANTED,36,9,4
20240426,52,ARTEMAS,IF U THINK I'M PRETTY,50,39,12
20240426,53,TRAVIS SCOTT FT PLAYBOI CARTI,FEIN,59,13,17
20240426,54,RICHY MITCH & THE COAL MINERS,EVERGREEN,43,36,30
20240426,55,BENSON BOONE,CRY,68,55,3
20240426,56,D4VD,FEEL IT,58,56,3
20240426,57,POZER,KITCHEN STOVE,56,22,9
20240426,58,FLOYYMENOR & CRIS MJ,GATA ONLY,76,58,2
20240426,59,BECKY HILL,OUTSIDE OF LOVE,62,59,4
20240426,60,DUA LIPA,TRAINING SEASON,15,4,10
20240426,61,RAYE,WORTH IT,53,33,8
20240426,62,FONTAINES DC,STARBURSTER,New,62,1
20240426,63,J COLE FT BAS & CENTRAL CEE,H.Y.B.,48,29,3
20240426,64,DIMITRI VEGAS & LIKE MIKE,THANK YOU (NOT SO BAD),60,50,14
20240426,65,CAMILA CABELLO/PLAYBOI CARTI,I LUV IT,78,61,4
20240426,66,FUTURE/METRO BOOMIN/TRAVIS,TYPE S**T,66,18,5
20240426,67,JAXOMY/A ROMERO/R CARRA,PEDRO,New,67,1
20240426,68,KYGO & AVA MAX,WHATEVER,22,15,14
20240426,69,AJ TRACEY,JOGA BONITO,New,69,1
20240426,70,4BATZ FT DRAKE,ACT II - DATE AT 8,69,18,7
20240426,71,SOPHIE ELLIS-BEXTOR,MURDER ON THE DANCEFLOOR,65,2,33
20240426,72,CHARLI XCX,VON DUTCH,55,26,8
20240426,73,JACK HARLOW,LOVIN ON ME,74,1,24
20240426,74,GODDARD & CAT BURNS,WASTED YOUTH,70,58,12
20240426,75,KILLERS,MR BRIGHTSIDE,80,10,407
20240426,76,MYLES SMITH,SOLO,86,76,5
20240426,77,TYLA,WATER,73,4,33
20240426,78,PINKFONG,BABY SHARK,79,6,92
20240426,79,MEGHAN TRAINOR & T-PAIN,BEEN LIKE THIS,67,40,6
20240426,80,SONNY FODERA/MK/DOUGLAS,ASKING,75,7,38
20240426,81,YG MARLEY,PRAISE JAH IN THE MOONLIGHT,72,5,15
20240426,82,DUA LIPA,HOUDINI,71,2,24
20240426,83,D-BLOCK EUROPE,KIKI (WHAT WOULD DRIZZY SAY),46,46,2
20240426,84,ALEX WARREN,BEFORE YOU LEAVE ME,91,81,9
20240426,85,CAMPBELL & ALCEMIST,WOULD YOU (GO TO BED WITH ME),77,29,32
20240426,86,FLEETWOOD MAC,EVERYWHERE,92,4,68
20240426,87,ZACH BRYAN FT KACEY MUSGRAVES,I REMEMBER EVERYTHING,84,14,35
20240426,88,OLIVIA RODRIGO,SO AMERICAN,63,24,5
20240426,89,YEAT,IF WE BEING REAL,New,89,1
20240426,90,OLIVIA RODRIGO,VAMPIRE,83,1,41
20240426,91,TEDDY SWIMS,THE DOOR,New,91,1
20240426,92,BILLY GILLIES FT HANNAH BOLEYN,DNA (LOVING YOU),90,9,36
20240426,93,FUTURE & METRO BOOMIN,WE STILL DON'T TRUST YOU,49,49,2
